District,County,Status,DEM,REP,CON,GRE,WOR,IND,WEP,REF,OTH,BLANK,TOTAL
1,Suffolk,Active,"141,144","157,548","12,486","1,085","2,194","23,946",68,21,348,"131,692","470,532"
1,Suffolk,Inactive,"12,097","10,223",788,91,200,"1,945",1,2,28,"9,985","35,360"
1,Suffolk,Total,"153,241","167,771","13,274","1,176","2,394","25,891",69,23,376,"141,677","505,892"
1,District Total,Active,"141,144","157,548","12,486","1,085","2,194","23,946",68,21,348,"131,692","470,532"
1,District Total,Inactive,"12,097","10,223",788,91,200,"1,945",1,2,28,"9,985","35,360"
1,District Total,Total,"153,241","167,771","13,274","1,176","2,394","25,891",69,23,376,"141,677","505,892"
2,Nassau,Active,"39,047","61,932","2,502",256,382,"5,502",21,6,62,"33,979","143,689"
2,Nassau,Inactive,"1,467","2,028",86,16,15,241,0,0,0,"1,276","5,129"
2,Nassau,Total,"40,514","63,960","2,588",272,397,"5,743",21,6,62,"35,255","148,818"
2,Suffolk,Active,"119,342","92,668","6,597",561,"1,429","13,027",51,20,198,"84,155","318,048"
2,Suffolk,Inactive,"9,242","5,902",383,47,144,994,2,0,20,"5,988","22,722"
2,Suffolk,Total,"128,584","98,570","6,980",608,"1,573","14,021",53,20,218,"90,143","340,770"
2,District Total,Active,"158,389","154,600","9,099",817,"1,811","18,529",72,26,260,"118,134","461,737"
2,District Total,Inactive,"10,709","7,930",469,63,159,"1,235",2,0,20,"7,264","27,851"
2,District Total,Total,"169,098","162,530","9,568",880,"1,970","19,764",74,26,280,"125,398","489,588"
3,Nassau,Active,"97,965","83,539","2,363",439,407,"10,631",42,15,89,"70,250","265,740"
3,Nassau,Inactive,"4,078","3,094",89,25,8,433,1,0,1,"2,574","10,303"
3,Nassau,Total,"102,043","86,633","2,452",464,415,"11,064",43,15,90,"72,824","276,043"
3,Queens,Active,"39,389","13,395",611,82,174,"2,215",14,2,19,"15,718","71,619"
3,Queens,Inactive,"2,234",831,37,9,14,132,0,0,2,949,"4,208"
3,Queens,Total,"41,623","14,226",648,91,188,"2,347",14,2,21,"16,667","75,827"
3,Suffolk,Active,"55,176","53,803","3,266",298,767,"7,511",22,25,113,"47,000","167,981"
3,Suffolk,Inactive,"3,777","3,132",174,29,49,515,2,0,8,"3,022","10,708"
3,Suffolk,Total,"58,953","56,935","3,440",327,816,"8,026",24,25,121,"50,022","178,689"
3,District Total,Active,"192,530","150,737","6,240",819,"1,348","20,357",78,42,221,"132,968","505,340"
3,District Total,Inactive,"10,089","7,057",300,63,71,"1,080",3,0,11,"6,545","25,219"
3,District Total,Total,"202,619","157,794","6,540",882,"1,419","21,437",81,42,232,"139,513","530,559"
4,Nassau,Active,"212,521","169,284","5,406",876,"1,414","18,624",78,69,190,"119,828","528,290"
4,Nassau,Inactive,"8,507","6,147",204,43,55,816,0,0,8,"4,315","20,095"
4,Nassau,Total,"221,028","175,431","5,610",919,"1,469","19,440",78,69,198,"124,143","548,385"
4,District Total,Active,"212,521","169,284","5,406",876,"1,414","18,624",78,69,190,"119,828","528,290"
4,District Total,Inactive,"8,507","6,147",204,43,55,816,0,0,8,"4,315","20,095"
4,District Total,Total,"221,028","175,431","5,610",919,"1,469","19,440",78,69,198,"124,143","548,385"
5,Nassau,Active,"33,207","10,957",363,84,181,"1,725",8,4,13,"11,235","57,777"
5,Nassau,Inactive,"1,157",444,12,5,7,55,0,0,0,347,"2,027"
5,Nassau,Total,"34,364","11,401",375,89,188,"1,780",8,4,13,"11,582","59,804"
5,Queens,Active,"262,844","22,755","1,185",267,"1,120","7,236",90,10,33,"52,199","347,739"
5,Queens,Inactive,"15,755","1,369",73,17,106,501,2,0,3,"3,081","20,907"
5,Queens,Total,"278,599","24,124","1,258",284,"1,226","7,737",92,10,36,"55,280","368,646"
5,District Total,Active,"296,051","33,712","1,548",351,"1,301","8,961",98,14,46,"63,434","405,516"
5,District Total,Inactive,"16,912","1,813",85,22,113,556,2,0,3,"3,428","22,934"
5,District Total,Total,"312,963","35,525","1,633",373,"1,414","9,517",100,14,49,"66,862","428,450"
6,Queens,Active,"198,631","51,448","2,130",550,963,"9,278",73,11,104,"88,288","351,476"
6,Queens,Inactive,"13,054","3,252",141,26,60,693,0,0,11,"5,618","22,855"
6,Queens,Total,"211,685","54,700","2,271",576,"1,023","9,971",73,11,115,"93,906","374,331"
6,District Total,Active,"198,631","51,448","2,130",550,963,"9,278",73,11,104,"88,288","351,476"
6,District Total,Inactive,"13,054","3,252",141,26,60,693,0,0,11,"5,618","22,855"
6,District Total,Total,"211,685","54,700","2,271",576,"1,023","9,971",73,11,115,"93,906","374,331"
7,Kings,Active,"200,339","15,289",530,682,"1,148","5,637",82,8,121,"49,391","273,227"
7,Kings,Inactive,"18,597","1,898",77,119,142,746,1,0,13,"5,457","27,050"
7,Kings,Total,"218,936","17,187",607,801,"1,290","6,383",83,8,134,"54,848","300,277"
7,New York,Active,"38,232","3,348",100,83,161,"1,058",10,4,19,"10,634","53,649"
7,New York,Inactive,"3,710",441,9,6,21,140,0,0,2,"1,238","5,567"
7,New York,Total,"41,942","3,789",109,89,182,"1,198",10,4,21,"11,872","59,216"
7,Queens,Active,"32,770","4,800",253,119,257,"1,165",16,4,19,"11,510","50,913"
7,Queens,Inactive,"1,883",334,26,5,23,87,0,0,1,705,"3,064"
7,Queens,Total,"34,653","5,134",279,124,280,"1,252",16,4,20,"12,215","53,977"
7,District Total,Active,"271,341","23,437",883,884,"1,566","7,860",108,16,159,"71,535","377,789"
7,District Total,Inactive,"24,190","2,673",112,130,186,973,1,0,16,"7,400","35,681"
7,District Total,Total,"295,531","26,110",995,"1,014","1,752","8,833",109,16,175,"78,935","413,470"
8,Kings,Active,"312,413","26,484",962,617,"1,746","8,442",93,7,88,"59,280","410,132"
8,Kings,Inactive,"28,091","2,153",91,72,210,969,0,0,13,"6,129","37,728"
8,Kings,Total,"340,504","28,637","1,053",689,"1,956","9,411",93,7,101,"65,409","447,860"
8,Queens,Active,"13,461","5,671",296,28,94,810,5,1,11,"4,964","25,341"
8,Queens,Inactive,781,277,20,1,7,51,0,0,1,291,"1,429"
8,Queens,Total,"14,242","5,948",316,29,101,861,5,1,12,"5,255","26,770"
8,District Total,Active,"325,874","32,155","1,258",645,"1,840","9,252",98,8,99,"64,244","435,473"
8,District Total,Inactive,"28,872","2,430",111,73,217,"1,020",0,0,14,"6,420","39,157"
8,District Total,Total,"354,746","34,585","1,369",718,"2,057","10,272",98,8,113,"70,664","474,630"
9,Kings,Active,"315,398","29,941","1,128",810,"1,687","8,635",67,5,125,"66,614","424,410"
9,Kings,Inactive,"26,922","2,501",103,81,237,959,0,0,9,"6,658","37,470"
9,Kings,Total,"342,320","32,442","1,231",891,"1,924","9,594",67,5,134,"73,272","461,880"
9,District Total,Active,"315,398","29,941","1,128",810,"1,687","8,635",67,5,125,"66,614","424,410"
9,District Total,Inactive,"26,922","2,501",103,81,237,959,0,0,9,"6,658","37,470"
9,District Total,Total,"342,320","32,442","1,231",891,"1,924","9,594",67,5,134,"73,272","461,880"
10,Kings,Active,"71,062","19,761",844,183,279,"2,236",24,2,32,"30,446","124,869"
10,Kings,Inactive,"4,599","1,311",55,10,34,209,0,0,3,"2,217","8,438"
10,Kings,Total,"75,661","21,072",899,193,313,"2,445",24,2,35,"32,663","133,307"
10,New York,Active,"181,458","27,277",416,565,376,"8,353",48,4,182,"54,769","273,448"
10,New York,Inactive,"24,885","6,057",69,97,69,"2,046",0,0,40,"10,282","43,545"
10,New York,Total,"206,343","33,334",485,662,445,"10,399",48,4,222,"65,051","316,993"
10,District Total,Active,"252,520","47,038","1,260",748,655,"10,589",72,6,214,"85,215","398,317"
10,District Total,Inactive,"29,484","7,368",124,107,103,"2,255",0,0,43,"12,499","51,983"
10,District Total,Total,"282,004","54,406","1,384",855,758,"12,844",72,6,257,"97,714","450,300"
11,Kings,Active,"62,025","24,639","1,014",261,358,"3,574",25,5,64,"31,305","123,270"
11,Kings,Inactive,"4,927","1,824",98,15,35,332,0,1,3,"2,457","9,692"
11,Kings,Total,"66,952","26,463","1,112",276,393,"3,906",25,6,67,"33,762","132,962"
11,Richmond,Active,"125,048","81,224","4,433",380,"1,138","9,678",51,22,124,"59,189","281,287"
11,Richmond,Inactive,"8,656","4,526",254,32,106,705,0,0,8,"3,940","18,227"
11,Richmond,Total,"133,704","85,750","4,687",412,"1,244","10,383",51,22,132,"63,129","299,514"
11,District Total,Active,"187,073","105,863","5,447",641,"1,496","13,252",76,27,188,"90,494","404,557"
11,District Total,Inactive,"13,583","6,350",352,47,141,"1,037",0,1,11,"6,397","27,919"
11,District Total,Total,"200,656","112,213","5,799",688,"1,637","14,289",76,28,199,"96,891","432,476"
12,Kings,Active,"28,910","3,483",129,305,156,"1,426",8,0,53,"10,394","44,864"
12,Kings,Inactive,"3,343",404,13,42,25,216,0,0,7,"1,314","5,364"
12,Kings,Total,"32,253","3,887",142,347,181,"1,642",8,0,60,"11,708","50,228"
12,New York,Active,"190,606","48,241",676,636,362,"12,078",46,19,227,"72,797","325,688"
12,New York,Inactive,"26,697","8,994",131,126,66,"2,555",1,0,56,"12,965","51,591"
12,New York,Total,"217,303","57,235",807,762,428,"14,633",47,19,283,"85,762","377,279"
12,Queens,Active,"43,242","5,784",199,191,208,"2,027",17,1,43,"15,076","66,788"
12,Queens,Inactive,"3,993",622,24,32,22,252,0,0,10,"1,610","6,565"
12,Queens,Total,"47,235","6,406",223,223,230,"2,279",17,1,53,"16,686","73,353"
12,District Total,Active,"262,758","57,508","1,004","1,132",726,"15,531",71,20,323,"98,267","437,340"
12,District Total,Inactive,"34,033","10,020",168,200,113,"3,023",1,0,73,"15,889","63,520"
12,District Total,Total,"296,791","67,528","1,172","1,332",839,"18,554",72,20,396,"114,156","500,860"
13,Bronx,Active,"67,077","4,162",264,104,322,"1,623",24,2,16,"12,801","86,395"
13,Bronx,Inactive,"9,130",741,49,14,58,284,1,0,0,"2,030","12,307"
13,Bronx,Total,"76,207","4,903",313,118,380,"1,907",25,2,16,"14,831","98,702"
13,New York,Active,"264,205","13,431",542,663,"1,070","6,976",105,10,113,"45,201","332,316"
13,New York,Inactive,"30,252","2,194",76,91,178,"1,176",1,0,16,"6,612","40,596"
13,New York,Total,"294,457","15,625",618,754,"1,248","8,152",106,10,129,"51,813","372,912"
13,District Total,Active,"331,282","17,593",806,767,"1,392","8,599",129,12,129,"58,002","418,711"
13,District Total,Inactive,"39,382","2,935",125,105,236,"1,460",2,0,16,"8,642","52,903"
13,District Total,Total,"370,664","20,528",931,872,"1,628","10,059",131,12,145,"66,644","471,614"
14,Bronx,Active,"77,087","13,702","1,105",129,443,"3,058",34,3,39,"19,146","114,746"
14,Bronx,Inactive,"9,636","1,630",158,17,72,438,0,0,5,"2,443","14,399"
14,Bronx,Total,"86,723","15,332","1,263",146,515,"3,496",34,3,44,"21,589","129,145"
14,Queens,Active,"134,484","19,035",723,429,659,"4,891",75,4,77,"44,836","205,213"
14,Queens,Inactive,"8,937","1,488",81,35,61,482,0,0,8,"3,320","14,412"
14,Queens,Total,"143,421","20,523",804,464,720,"5,373",75,4,85,"48,156","219,625"
14,District Total,Active,"211,571","32,737","1,828",558,"1,102","7,949",109,7,116,"63,982","319,959"
14,District Total,Inactive,"18,573","3,118",239,52,133,920,0,0,13,"5,763","28,811"
14,District Total,Total,"230,144","35,855","2,067",610,"1,235","8,869",109,7,129,"69,745","348,770"
15,Bronx,Active,"283,420","14,113","1,114",301,"1,595","5,785",153,10,34,"47,838","354,363"
15,Bronx,Inactive,"37,117","2,365",167,37,325,964,10,0,10,"7,381","48,376"
15,Bronx,Total,"320,537","16,478","1,281",338,"1,920","6,749",163,10,44,"55,219","402,739"
15,District Total,Active,"283,420","14,113","1,114",301,"1,595","5,785",153,10,34,"47,838","354,363"
15,District Total,Inactive,"37,117","2,365",167,37,325,964,10,0,10,"7,381","48,376"
15,District Total,Total,"320,537","16,478","1,281",338,"1,920","6,749",163,10,44,"55,219","402,739"
16,Bronx,Active,"105,506","7,660",486,139,404,"3,135",25,4,23,"17,956","135,338"
16,Bronx,Inactive,"12,235","1,121",64,9,60,424,0,0,6,"2,562","16,481"
16,Bronx,Total,"117,741","8,781",550,148,464,"3,559",25,4,29,"20,518","151,819"
16,Westchester,Active,"152,511","57,864","3,986",355,842,"9,720",53,7,67,"62,941","288,346"
16,Westchester,Inactive,"13,616","5,098",285,32,121,992,0,0,3,"5,999","26,146"
16,Westchester,Total,"166,127","62,962","4,271",387,963,"10,712",53,7,70,"68,940","314,492"
16,District Total,Active,"258,017","65,524","4,472",494,"1,246","12,855",78,11,90,"80,897","423,684"
16,District Total,Inactive,"25,851","6,219",349,41,181,"1,416",0,0,9,"8,561","42,627"
16,District Total,Total,"283,868","71,743","4,821",535,"1,427","14,271",78,11,99,"89,458","466,311"
17,Rockland,Active,"88,484","44,339","3,869",331,924,"8,099",32,117,6,"44,530","190,731"
17,Rockland,Inactive,"6,227","2,977",221,42,59,683,1,1,0,"3,453","13,664"
17,Rockland,Total,"94,711","47,316","4,090",373,983,"8,782",33,118,6,"47,983","204,395"
17,Westchester,Active,"115,588","60,251","3,756",475,589,"10,770",38,7,83,"67,926","259,483"
17,Westchester,Inactive,"9,597","5,118",319,47,59,"1,009",0,0,10,"6,220","22,379"
17,Westchester,Total,"125,185","65,369","4,075",522,648,"11,779",38,7,93,"74,146","281,862"
17,District Total,Active,"204,072","104,590","7,625",806,"1,513","18,869",70,124,89,"112,456","450,214"
17,District Total,Inactive,"15,824","8,095",540,89,118,"1,692",1,1,10,"9,673","36,043"
17,District Total,Total,"219,896","112,685","8,165",895,"1,631","20,561",71,125,99,"122,129","486,257"
18,Dutchess,Active,"37,962","27,933","2,015",254,471,"5,735",21,30,79,"28,197","102,697"
18,Dutchess,Inactive,"4,962","2,648",175,45,87,704,1,0,6,"3,290","11,918"
18,Dutchess,Total,"42,924","30,581","2,190",299,558,"6,439",22,30,85,"31,487","114,615"
18,Orange,Active,"79,050","69,701","4,327",624,"1,130","11,815",54,28,154,"50,646","217,529"
18,Orange,Inactive,"6,970","5,195",296,81,125,"1,151",1,1,16,"4,876","18,712"
18,Orange,Total,"86,020","74,896","4,623",705,"1,255","12,966",55,29,170,"55,522","236,241"
18,Putnam,Active,"18,504","21,925","1,930",154,217,"3,789",9,13,42,"16,311","62,894"
18,Putnam,Inactive,"1,599","1,713",167,11,15,341,0,0,6,"1,505","5,357"
18,Putnam,Total,"20,103","23,638","2,097",165,232,"4,130",9,13,48,"17,816","68,251"
18,Westchester,Active,"18,068","15,961",614,99,58,"2,170",4,0,22,"13,266","50,262"
18,Westchester,Inactive,"1,559","1,381",52,11,8,226,0,0,1,"1,238","4,476"
18,Westchester,Total,"19,627","17,342",666,110,66,"2,396",4,0,23,"14,504","54,738"
18,District Total,Active,"153,584","135,520","8,886","1,131","1,876","23,509",88,71,297,"108,420","433,382"
18,District Total,Inactive,"15,090","10,937",690,148,235,"2,422",2,1,29,"10,909","40,463"
18,District Total,Total,"168,674","146,457","9,576","1,279","2,111","25,931",90,72,326,"119,329","473,845"
19,Broome,Active,324,704,17,6,7,80,0,0,0,205,"1,343"
19,Broome,Inactive,34,47,0,2,3,16,0,0,0,32,134
19,Broome,Total,358,751,17,8,10,96,0,0,0,237,"1,477"
19,Columbia,Active,"13,798","12,050","1,098",204,215,"2,830",10,1,22,"11,302","41,530"
19,Columbia,Inactive,"1,093",654,76,20,29,288,0,0,5,903,"3,068"
19,Columbia,Total,"14,891","12,704","1,174",224,244,"3,118",10,1,27,"12,205","44,598"
19,Delaware,Active,"7,296","11,629",488,115,110,"1,607",3,2,13,"5,400","26,663"
19,Delaware,Inactive,837,872,39,9,25,199,0,0,5,794,"2,780"
19,Delaware,Total,"8,133","12,501",527,124,135,"1,806",3,2,18,"6,194","29,443"
19,Dutchess,Active,"22,421","23,930","1,604",244,289,"4,680",15,11,69,"20,777","74,040"
19,Dutchess,Inactive,"2,483","1,959",119,41,38,537,0,0,14,"2,368","7,559"
19,Dutchess,Total,"24,904","25,889","1,723",285,327,"5,217",15,11,83,"23,145","81,599"
19,Greene,Active,"7,075","11,641",816,150,145,"1,914",5,1,1,"7,568","29,316"
19,Greene,Inactive,910,"1,116",87,25,20,273,0,0,0,"1,064","3,495"
19,Greene,Total,"7,985","12,757",903,175,165,"2,187",5,1,1,"8,632","32,811"
19,Montgomery,Active,"2,061","3,279",191,18,35,452,0,3,5,"1,910","7,954"
19,Montgomery,Inactive,193,253,24,3,6,58,0,0,1,252,790
19,Montgomery,Total,"2,254","3,532",215,21,41,510,0,3,6,"2,162","8,744"
19,Otsego,Active,"10,561","12,995",516,143,140,"2,147",7,4,43,"7,291","33,847"
19,Otsego,Inactive,"1,172",988,58,14,22,279,1,0,4,"1,085","3,623"
19,Otsego,Total,"11,733","13,983",574,157,162,"2,426",8,4,47,"8,376","37,470"
19,Rensselaer,Active,"10,325","13,331","1,914",146,387,"3,486",4,15,12,"13,744","43,364"
